glosario	glossary	para activar trabajo en grupo
¡Por	For	Para indicar el propósito que persigue algo o alguien. Example: Fight for our rights!.
industria semi-ligera 	light weight industry
laundering money	lavando dinero
laundering money	lavando dinero
aundering money	lavando dinero
laundering money 	lavando dinero
laundering money	lavando dinero
stagnation	estancamiento
puesta en pie	put on its feet
reivindican	claim / reclaim / defend / make up	Principal Translations
 reivindicar⇒(derecho: recuperar, retomar)⇒reclaim  - Examples:	Reivindicaron el derecho al voto y a la libre expresión.
 	They reclaimed the right to vote and the right to free expression. ///Reivindicar (defender, argumentar)⇒defend 
